Pytanie;Poprawna_odpowiedz;Wyjaśnienie
"Kiedy drużyna ma 4 Zawodników, wszyscy 4 mogą być użyci do każdej rundy.";0;"3.5.1 Drużyny Kata składają się z 3 (zawody inne niż kategorii A) lub 3-4 Zawodników (zawody kategorii A), z których 3 rywalizuje w każdej rundzie. Gdy Drużyna składa się z 4 zawodników, w dowolnej rundzie można użyć dowolnych 3 Zawodników. Każda drużyna jest wyłącznemęska lub wyłącznie żeńska."
"Dawanie komendy do rozpoczęcia i zakończenia Kata przez członka drużyny nie jest uważane za zewnętrzną wskazówkę.";0;"5.7 5. Użycie sygnałów dźwiękowych (przez inną osobę, w tym członków drużyny) lub teatralnych gestów, takich jak tupanie nogami, uderzanie w klatkę piersiową, ramiona lub karategi, lub nieodpowiedni wydech, należy uznać za bardzo poważne przewinienia."
"Maty muszą tworzyć powierzchnię jednolitego koloru w konkurencji Kata.";0;"1.1 Pole walki będzie kwadratem ułożonym z mat o bokach równych 8 metrów (mierzonychz zewnątrz), z matami w kolorze innym niż reszta mat na zewnętrznym jednometrowymobszarze, wyznaczającym granicę."
"Sędziowie powinni zwracać uwagę na prawidłowy Kihon demonstrowanego stylu (Ryu-ha) zawodnika";1;"5.6 7. Zgodność: Spójność w działaniu KIHON"
"Skład sędziowski może być zmieniony dla każdej pojedynczej rundy.";1;"4.1 Na wszystkich oficjalnych zawodach PUK Panel Sędziów do Kata dla każdej rundy zostanie wyznaczony przez Menadżera Tatami."
"Czas dopuszczalny na wykonanie Kata i BUNKAI razem wynosi 5 minut.";1;"3.5.7 Całkowity dozwolony czas na prezentację Kata i Bunkai wynosi 5 minut."
"W konkurencji Kata rękawy bluzy Karate-Gi nie mogą być podwinięte.";1;"2.2.12 Rękawy bluzy nie mogą być podwinięte"
"Odpowiedzialnością Trenera lub zawodnika jest zgłoszenie nazwy i numeru Kata do stolika sędziowskiego przed każdą rundą.";0;"6.2 Jest wyłączną odpowiedzialnością Trenera, lub w przypadku nieobecności Trenera, odpowiedzialnością Zawodnika lub Drużyny zapewnić, że Kata wskazywane Gońcowi (lub w przypadku nieobecności Sędziom) jest odpowiednie dla tej konkretnej rund"
"Liczba sędziów może być zmniejszona do pięciu dla każdej imprezy.";0;"4.6 Liczba Sędziów w Panelu Sędziowskim do Kata w zależności od zawodów:Zawody Kategorii A (decyzję podejmuje Sędzia Główny w porozumieniu z Zarządem PUK):o Mistrzostwa Polski Seniorów – 7 Sędziówo Pozostałe zawody – 5 lub 7 Sędziów"
"Poprzednio wykonane Kata może być użyte tylko do rozstrzygnięcia remisu.";0;"5.2.1 Zasadniczo Zawodnik lub Drużyna powinni wykonać inne Kata w każdej rundzie. Jednakże, aby ukończyć zawody, nie potrzeba więcej niż pięciu (5) różnych Kata. Jeśli liczba uczestników wymaga szóstej rundy do wygrania, wcześniej wykonane Kata może zostać powtórzone (tylko w tej szóstej walce/meczu), pod warunkiem, że żadne kata nie zostanie powtórzone dwa razy z rzędu, runda po rundzie. Tę samą zasadę należy zastosować, jeśli do wygrania wymagana jest siódma runda."
"Spodnie Karate-Gi mogą być trochę krótsze, tak aby przykryć tylko połowę łydki.";0;"2.2.13 Spodnie muszą być wystarczająco długie, by zakryć co najmniej dwie trzecie podudzia i niemogą sięgać poniżej kostki. Nogawki nie mogą być podwinięte"
"Całkowity czas dopuszczalny dla wykonania łącznej prezentacji Kata i BUNKAI wynosi pięć minut.";1;"3.5.6 Łączny czas pokazu Kata i Bunkai wynosi 5 minut."
"W przypadku gdy jest 3 lub mniej Zawodników jest wykonywane pojedyncze Kata dla określenia miejsc od pierwszego do trzeciego.";0;"Tabela 3.7.10 pokazuje, że wszyscy zawodnicy wykonują kata, a następnie rozgrywany jest finał pomiędzy pierwszym a drugim zawodnikiem w grupie."
"Sędziowie meczu Kata nie mogą być takiej samej narodowości jak którykolwiek z zawodników";0;""
"Chociaż wstążki i inne ozdoby nie są dozwolone w Kumite, to są one dozwolone w Kata.";0;"2.2.6 Wsuwki do włosów są zabronione, podobnie jak metalowe spinki do włosów. Wstążki, koraliki i inne ozdoby są zabronione. Dozwolona jest jedna lub dwie dyskretne gumki na pojedynczym kucyku."
"W walkach o medale konkurencji Kata drużynowego, drużyny wykonają prezentację znaczenia Kata (BUNKAI)";1;"3.5.4 W walkach o medale w Zespołowych Zawodach Kata, Zespoły będą wykonywać wybrane przez siebie Kata w zwykły sposób. Następnie przeprowadzą demonstrację znaczenia Kata (Bunkai)."
"Nie jest możliwe, aby powtarzać Kata systemie eliminacji Round-robin.";0;"5.2.1 Zasadniczo Zawodnik lub Drużyna powinni wykonać inne kata w każdej rundzie. Jednakże, aby ukończyć zawody, nie potrzeba więcej niż pięciu (5) różnych kata. Jeśli liczba uczestników wymaga szóstej rundy do wygrania, wcześniej wykonane kata może zostać powtórzone (tylko w tej szóstej walce/meczu), pod warunkiem, że żadne kata nie zostanie powtórzone dwa razy z rzędu, runda po rundzie. Tę samą zasadę należy zastosować, jeśli do wygrania wymagana jest siódma runda."
"Dla zawodów nie wliczanych do Światowego Rankingu WKF lub kwalifikacji Olimpijskiej liczba sędziów może być ograniczona do 5.";1;"Zawody inne niż Kategoria A (decyzję podejmuje Sędzia Główny w porozumieniu z KierownikiemMakroregionu):o 3 (tylko System Flagowy), 5 lub 7 Sędziów"
"To samo Kata nigdy nie może być wykonane dwa razy z rzędu w systemie Round-robin.";0;"5.2.1 Zasadniczo Zawodnik lub Drużyna powinni wykonać inne kata w każdej rundzie. Jednakże, aby ukończyć zawody, nie potrzeba więcej niż pięciu (5) różnych kata. Jeśli liczba uczestników wymaga szóstej rundy do wygrania, wcześniej wykonane kata może zostać powtórzone (tylko w tej szóstej walce/meczu), pod warunkiem, że żadne kata nie zostanie powtórzone dwa razy z rzędu, runda po rundzie. Tę samą zasadę należy zastosować, jeśli do wygrania wymagana jest siódma runda."
"Jeśli już zakwalifikowany Zawodnik jest zdyskwalifikowany za niewłaściwe zachowanie pod koniec rundy Round-robin (SHIKKAKU): Przeciwnik z półfinału przechodzi do finału wolnym losem.";1;"3.7.8 Jeśli już zakwalifikowany Zawodnik/Drużyna indywidualny jest zdyskwalifikowany za niesportowe zachowanie na koniec rundy Round-Robin (SHIKKAKU), kolejny Zawodnik/Drużyna z grupy Round-Robin przechodzi do dalszej fazy."
"Zawodniczki muszą nosić zwykły biały T-shirt pod bluzą Karate-Gi.";0;"2.2.9 Kobiety Zawodniczki mogą nosić gładki biały T-shirt pod bluzą Karate-gi"
"Zawodniczki mogą, jeśli chcą, nosić zwykły biały T-shirt pod bluzą Karate-Gi.";1;"2.2.9 Kobiety Zawodniczki mogą nosić gładki biały T-shirt pod bluzą Karate-gi"
"Noszenie nieautoryzowanych stroju lub sprzętu jest zabronione";1;"2.2.7 Zabronione jest noszenie jakiejkolwiek nieautoryzowanej odzieży, odzieży lub sprzętu."
"Dyskretna gumka lub uchwyt do włosów ułożonych w koński ogon są dopuszczalne w konkurencji Kata";1;"2.2.19 Wsuwki do włosów są zabronione, podobnie jak metalowe spinki do włosów. Wstążki, koraliki i inne ozdoby są zabronione. Dozwolona jest jedna lub dwie dyskretne gumki na włosach spiętych w koński ogon."
"Pole walki musi mieć rozmiar wystarczający, aby pozwolić na niezakłócone wykonanie Kata.";0;"Polem zawodów będzie kwadrat z matą, zatwierdzony przez WKF, o boku ośmiu metrów (mierzonym od zewnątrz). Z każdej strony będzie wyznaczony wolny obszar bezpieczeństwa o długości dwóch metrów."
"Pola walki do Kumite zbudowane z mat są nieodpowiednie dla konkurencji Kata";0;"1.1 Polem zawodów będzie kwadrat z matą, zatwierdzony przez WKF, o boku ośmiu metrów (mierzonym od zewnątrz). Z każdej strony będzie wyznaczony wolny obszar bezpieczeństwa o długości dwóch metrów."
"Bluza Karate-Gi może być zdjęta w trakcie wykonania Kata";0;""
"Sygnały dźwiękowe są na tym samym poziomie, jak ukarana zostałaby chwilowa utrata równowagi.";0;" Sygnały dźwiękowe  to Faule a chwilowa utrata równowagi jeżei nie tak  samo jak 5.7.2 Niewielka utrata równowagi - to Dyskwalifikacja: Konieczność wykonania korygującego kroku dla powrotu z całkowitej utraty równowagi lub upadku"
"Zmiany w Kata, zgodne z nauczaniem stylu (Ryu-ha) Karate zawodnika, nie będą dozwolone";0;"5.3.2 Dozwolone będą niewielkie różnice zgodnie ze stylem Zawodnika (Ryu-Ha) Karate."
"Tabela wyników musi zostać podana przed każdą rundą z informacją o wybranym Kata.";1;"6.1 Przed każdą rundą Zawodnicy lub Drużyny muszą przekazać wybrane Kata przydzielonym Zawodnikom, którzy przekażą te informacje Technikowi Oprogramowania elektronicznego systemu sędziowania."
"Drużyna, która nie wykona ukłonu po zakończeniu BUNKAI zostanie zdyskwalifikowana";1;"5.3.1 Prezentacja oceniana jest od ukłonu rozpoczynającego Kata do ukłonu kończącego Kata, z wyjątkiem Drużynowych meczy medalowych, gdzie wykonanie, jak również pomiar czasu, rozpoczyna się ukłonem na początku Kata i kończy się, gdy Zawodnicy ukłonią się po zakończeniu Bunkai (o ile Bunkai jest wymagane).5.8 Dyskwalifikacja - dla kategorii U14 i starsi a. Brak ukłonu na początku i na końcu wykonania Kata (3.5.4 Bunkai nazawodach rankingowych nie dotyczy kategorii Masters oraz kategorii U14 i niższych)"
"Liczba wymaganych Kata zależy od liczby zawodników lub drużyn zgłoszonych do konkurencji";1;"3.7.10 tabela"
"Jeśli już zakwalifikowany Zawodnik jest zdyskwalifikowany za nieprawidłowe zachowanie pod koniec rundy Round-robin (SHIKKAKU), zostanie przyznany brązowy medal.";0;"3.7.8 Jeśli już zakwalifikowany Zawodnik indywidualny zostanie zdyskwalifikowany za niewłaściwe zachowanie na koniec rundy „każdy z każdym” (SHIKKAKU): a) Przeciwnik ćwierćfinałowy przejdzie do półfinału na zasadzie pożegnania („walkower”). b) Pozostali Zawodnicy będą rywalizować w drugim Ćwierćfinale."
"Przy ocenie wykonania zawodnika lub drużyny, Sędziowie będą oceniać wykonanie w oparciu o wszystkie kryteria.";1;"5.6 Kryteria oceny"
"Nie ma specjalnych różnic dla osób poniżej 14 roku życia w stosunku do standardowych przepisów, ale może być stosowane ograniczenie listy Kata do Kata mniej zaawansowanych.";0;"5.1.1 W kategoriach U14 do seniora, można wykonać tylko Kata z oficjalnej listy Kata WKF"
"Spowodowanie kontuzji, poprzez brak kontroli technik podczas BUNKAI jest traktowane jako faul.";1;"5.7 Faule : 5.7.8 Spowodowanie kontuzji przez brak kontrolowanej techniki podczas Bunkai"
"Przy walkach medalowych żaden z Sędziów nie może być tej samej narodowości co Zawodnicy.";0;""
"Wykonania otrzymują ocenę wg skali od 5.0 do 10.0 w przyrostach co 0.1.";1;"5.5.1 Prezentacje są oceniane w skali od 5.0 do 10.0 w odstępach co 0.1 – gdzie 5.0 oznaczanajniższą możliwą ocenę dla Kata, które zostało zaakceptowane jako wykonane, a 10.0oznacza doskonałe wykonanie. Dyskwalifikacja wskazywana jest przez wynik 0.0."
"Rzut monetą jest pierwszym kryterium, aby rozstrzygnąć remisy.";0;"Usunięto ze scenariuszy tie breaków"
"Jest sześć sposobów, aby rozstrzygnąć remis w Systemie eliminacji Round-Robin z 4 Zawodnikami.";0;"5.11 5 opcji 5.12 4 opcje"
"Siła jest jednym z kryteriów oceny.";1;"5.7 Kryteria oceny Wykonanie Kata1. Pozycje2. Techniki3. Przemieszczanie się 4. Timing i synchronizacja5. Właściwe oddychanie6. Skupienie (KIME)7. Zgodność: Konsekwencjaw wykonaniu KIHON8. Siła9. Szybkość10. Balans"
"Jest sześć sposobów, aby rozstrzygnąć remis w Systemie eliminacji z 8 Zawodnikami.";0;"5.11 5 opcji 5.12 4 opcje"
"Jest 10 kryteriów oceny Kata.";1;"5.6 Kryteria oceny  1. Postawy 2. Techniki 3. Ruchy przejściowe 4. Wyczucie czasu i synchronizacja 5. Prawidłowe oddychanie 6. Skupienie (KIME) 7. Zgodność: Konsekwencja w wykonywaniu KIHON 8. Siła 9. Szybkość 10. Równowaga"
"Przejścia są jednym z kryteriów oceny dla wykonania Kata, ale nie dla wykonania BUNKAI.";0;"5.6 Kryteria oceny 3. Ruchy przejściowe 5. Kontrola"
"W wykonaniu BUNKAI, przejścia i kontrola są częścią oceny.";1;"5.6 Kryteria oceny 3. Ruchy przejściowe"
"Siła, Szybkość i Równowaga są niektórymi kryteriami oceny dla Kata i BUNKAI";1;"5.6 Kryteria oceny 8. Siła 9. Prędkość 10. Równowaga"
"Symulowana nieprzytomność przez więcej niż 2 sekundy naraz jako część BUNKAI jest uważana za faul.";1;"5.7 Faule : 5.7.9 Symulowana utrata przytomności przez ponad 2 sekundy w ramach Bunkai"
"BUNKAI ma tą samą wagę jak samo Kata.";1;"5.4.3 Bunkai wykonuje się w meczach o medale i należy je traktować na równi z samym Kata"
"Nadmierne kłanianie przed startem wykonania jest uważane za faul.";1;"5.7 7. Marnowanie czasu, w tym przedłużony marsz, nadmierne kłanianie się lub przedłużona pauza przed rozpoczęciem występu, w tym wykorzystanie więcej niż 35 sekund od ogłoszenia na monitorze nazwy Zawodnika/Drużyny do pierwszej techniki kata."
"Spowodowanie kontuzji poprzez brak kontroli technik podczas BUNKAI spowoduje dyskwalifikację zawodnika.";0;"5.7 Faul 8. Spowodowanie kontuzji poprzez brak kontrolowanej techniki podczas Bunkai."
"Brak zapowiedzi Kata nie powoduje dyskwalifikacji.";0;"5.8 Dyskwalifikacja : a. Brak zapowiedzi Kata, zapowiedź niewłaściwego Kata – lub wykonanie innego Kata niżwcześniej zgłoszone do oficjalnego stolika"
"Wykonanie niewłaściwego Kata lub zapowiedź niewłaściwego Kata prowadzi do dyskwalifikacji.";1;"5.8 Dyskwalifikacja : a. Brak zapowiedzi Kata, zapowiedź niewłaściwego Kata – lub wykonanie innego Kata niżwcześniej zgłoszone do oficjalnego stolika"
"Tupanie stopami, poklepywanie w klatkę piersiową, ręce lub Karate-Gi, będzie brane pod uwagę przez Sędziów podczas podejmowania decyzji.";1;"to Faule : 5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu) lubteatralnych, takich jak nieuzasadnione tupanie nogami, uderzanie w klatkę piersiową,ramiona lub Karate-gi, jeżeli nie wynika to bezpośrednio z wykonywanej techniki (muchimi)lub niewłaściwe oddychanie, musi być uznane przez Sędziów za bardzo poważne faule w ichocenie wykonania Kata – na takim samym poziomie, na jakim karano by za chwilową utratęrównowagi."
"Zawodnik nie zostanie zdyskwalifikowany, jeśli zrobi w wykonaniu Kata wyraźną przerwę lub przystanek na kilka sekund.";1;"5.8 Dyskwalifikacja: c. Wyraźna pauza lub zatrzymanie w wykonaniu (dla kategorii U12 i starsi w kategoriach U10 należy dać możliwość powtórzenia Kata od początku, bez wpływu na ocenę wykonania Kata)."
"Do BUNKAI nie powinno się przykładać takiej samej wagi jak do samego Kata.";0;"5.4.3 Bunkai wykonuje się w meczach o medale i należy je traktować na równi z samym Kata"
"Kata musi być rozpoczęte twarzą do sędziów.";1;"5.8 Dyskwalifikacja : Nierozpoczęcie Kata twarzą do Sędziów"
"Używanie dźwiękowych sygnałów przez jakąkolwiek inną osobę, włączając innych członków drużyny jest uznawane za faul.";1;"to Faule : 5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu)"
"Jeśli pas zawodnika upada w trakcie wykonania Kata, to zawodnik zostaje zdyskwalifikowany.";0;"5.8 Dyskwalifikacja: 5.8.2 Tylko dla kategorii U14 i starsi  c. Upadek pasa podczas prezentacji"
"Nieprzestrzeganie poleceń Sędziego Prowadzącego lub inne niewłaściwe zachowanie jest uznawane za faul.";0;"5.8 Dyskwalifikacja : g. Niestosowanie się do poleceń Sędziego Głównego Kata lub inne wykroczenie(SHIKKAKU)"
"Nieprzestrzeganie poleceń Sędziego Prowadzącego lub inne niewłaściwe zachowanie prowadzi do dyskwalifikacji.";1;"5.8 Dyskwalifikacja : g. Niestosowanie się do poleceń Sędziego Głównego Kata lub inne wykroczenie(SHIKKAKU)"
"Przekroczenie całkowitego limitu 5 minut dla czasu trwania Kata i BUNKAI jest uznawane za faul.";0;"5.8 Dyskwalifikacja : e. Przekroczenie łącznego limitu czasu trwania 5 minut dla Kata i Bunkai"
"W Kata drużynowym, wszyscy trzej członkowie drużyny muszą rozpocząć i skończyć Kata stojąc w tym samym kierunku i twarzą do Sędziego Prowadzącego.";1;""
"Wykonanie Kata musi być realistyczne w rozumieniu walki i pokazywać koncentrację, siłę i potencjał uderzenia w swoich technikach.";1;"3.1.1 Kata to nie taniec lub teatralne przedstawienie. Musi przestrzegać tradycyjnych wartości izasad. Musi być realistyczne pod względem walki i wykazywać koncentrację, siłę i potencjałuderzenia w swoich technikach. Musi demonstrować siłę, moc i szybkość, jak równieżwdzięk, rytm i równowagę."
"Spowodowanie kontuzji poprzez brak kontroli w technikach podczas BUNKAI nie jest uznawane za faul";1;"5,7 Faule 8. Spowodowanie kontuzji poprzez brak kontrolowanej techniki podczas Bunkai."
"Lekka utrata równowagi nie może wpłynąć na ocenę wykonania Kata.";0;"5.7 Faule : 5.7.2 Niewielka utrata równowagi."
"Przekroczenie całkowitego limitu 5 minut dla czasu trwania Kata i BUNKAI prowadzi do dyskwalifikacji.";1;"5.8 Dyskwalifikacja : e. Przekroczenie łącznego limitu czasu trwania 5 minut dla Kata i Bunkai"
"Wykonanie Kata musi prezentować siłę, równowagę i szybkość.";1;"5.7 Kryteria oceny Wykonanie Kata: 8. Siła9. Szybkość10. Balans"
"Lekka utrata równowagi musi mieć wpływ na ocenę wykonania Kata.";1;"5.7 Faule : 5.7.2 Niewielka utrata równowagi."
"Ruch asynchroniczny, taki jak wykonanie techniki przed zakończeniem przemieszczenia ciała, jest uznawane za faul.";1;"5.7 Faule : 5.7.4 Asynchroniczne ruchy, takie jak wykonanie techniki przed zakończeniem przejścia ciała lub wprzypadku Kata Drużynowego niewykonanie ruchu zgodnie."
"Niewłaściwy wydech będzie brany pod uwagę przez Sędziów przy podejmowaniu decyzji.";1;"5.7 Faule  : 5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu) lubteatralnych, takich jak nieuzasadnione tupanie nogami, uderzanie w klatkę piersiową,ramiona lub Karate-gi, jeżeli nie wynika to bezpośrednio z wykonywanej techniki (muchimi)lub niewłaściwe oddychanie, musi być uznane przez Sędziów za bardzo poważne faule w ichocenie wykonania Kata – na takim samym poziomie, na jakim karano by za chwilową utratęrównowagi."
"W Kata drużynowym, brak synchronizacji ruchów nie jest uznawany za faul.";1;"5.7 Faule : 5.7.4 Asynchroniczne ruchy, takie jak wykonanie techniki przed zakończeniem przejścia ciała lub wprzypadku Kata Drużynowego niewykonanie ruchu zgodnie."
"Wykonywanie ruchu w sposób nieprawidłowy lub niekompletny jest uważane za faul.";1;"5.7 Faule : 5.7.3 Wykonanie ruchu w nieprawidłowy lub niekompletny sposób, np. niewykonanie pełnegobloku lub uderzenie poza cel."
"Marnowanie czasu, włączając wydłużone maszerowanie, nadmierne kłanianie się lub wydłużona pauza przed rozpoczęciem wykonania są uznawane za faul.";1;"5.7 Faule: 5.7.7 Marnowanie czasu, w tym przedłużone maszerowanie, nadmierne kłanianie się lubprzedłużająca się pauza przed rozpoczęciem prezentacji."
"Tupanie stopami, uderzanie klatki piersiowej, ramion lub Karate-Gi są sygnałami dźwiękowymi.";1;"5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu) lubteatralnych, takich jak nieuzasadnione tupanie nogami, uderzanie w klatkę piersiową,ramiona lub Karate-gi"
"Użycie sygnałów dźwiękowych nie jest uznawane za faul.";0;"5.7 Faule : 5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu) lubteatralnych, takich jak nieuzasadnione tupanie nogami, uderzanie w klatkę piersiową,ramiona lub Karate-gi, jeżeli nie wynika to bezpośrednio z wykonywanej techniki (muchimi)lub niewłaściwe oddychanie, musi być uznane przez Sędziów za bardzo poważne faule w ichocenie wykonania Kata – na takim samym poziomie, na jakim karano by za chwilową utratęrównowagi"
"Niewłaściwy wydech nie jest sygnałem dźwiękowym.";1;"5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu) lubteatralnych, takich jak nieuzasadnione tupanie nogami, uderzanie w klatkę piersiową,ramiona lub Karate-gi, jeżeli nie wynika to bezpośrednio z wykonywanej techniki (muchimi)lub niewłaściwe oddychanie, musi być uznane przez Sędziów za bardzo poważne faule w ichocenie wykonania Kata – na takim samym poziomie, na jakim karano by za chwilową utratęrównowagi."
"Wykonanie niepełnego bloku lub niecelne uderzanie jest uznawane za faul.";1;"5.7 Faule : 5.7.3 Wykonanie ruchu w nieprawidłowy lub niekompletny sposób, np. niewykonanie pełnegobloku lub uderzenie poza cel."
"Spowodowanie kontuzji poprzez brak kontroli w technice podczas BUNKAI jest dozwolone.";0;"5.7 Faule: 5.7.8 Spowodowanie kontuzji przez brak kontrolowanej techniki podczas Bunkai."
"Członkowie drużyny muszą demonstrować kompetencję we wszystkich aspektach wykonania Kata, a także synchronizację.";1;"3.5.3 Członkowie Drużyny muszą demonstrować kompetencje we wszystkich aspektach wykonania Kata, jak również synchronizację."
"Komendy do rozpoczęcia lub zakończenia wykonania będą wzięte pod uwagę przez Sędziów podczas podejmowania decyzji.";1;"5.3.1 Prezentacja oceniana jest od ukłonu rozpoczynającego Kata do ukłonu kończącego Kata, zwyjątkiem Drużynowych meczy medalowych, gdzie wykonanie, jak również pomiar czasu,rozpoczyna się ukłonem na początku Kata i kończy się, gdy Zawodnicy ukłonią się pozakończeniu Bunkai (o ile Bunkai jest wymagane)."
"Upewnienie się, że zgłaszane do stolika sędziowskiego Kata jest właściwe dla tej właśnie rundy jest odpowiedzialnością Prezydenta Narodowej Federacji.";0;"6.2 Jest wyłączną odpowiedzialnością Trenera, lub w przypadku nieobecności Trenera,odpowiedzialnością Zawodnika lub Drużyny zapewnić, że Kata wskazywane Gońcowi (lub wprzypadku nieobecności Sędziom) jest odpowiednie dla tej konkretnej rundy."
"Podczas wykonania BUNKAI, po przewróceniu zawodnik powinien albo podnieść się na jedno kolano lub wstać w ciągu 2 sekund.";1;"3.5.7 Udawanie nieprzytomnego podczas wykonywania Bunkai nie jest właściwe: po powaleniu Zawodnik powinien unieść się na jedno kolano lub wstać w ciągu 2 sekund."
"Pomijanie lub dodawanie technik lub w inny sposób znaczna zmiana wykonania w stosunku do oryginalnej formy skutkuje dyskwalifikacją.";1;"5.8 Dyskwalifikacja : d. Pomijanie lub dodawanie ruchów – lub w inny sposób istotna zmiana wykonania wstosunku do jego pierwotnej formy."
"Nadmierne celebrowanie i demonstracje polityczne lub religijne jest traktowane jako dyskwalifikacja w Kumite, ale nie w Kata.";0;"5.11.1 Oczekuje się, że Zawodnicy będą szanować ceremonię powitania przed i po prezentacji.Wszelkie nadmierne celebrowanie, takie jak padanie na kolana itp., wyrażanie poglądówpolitycznych lub religijnych w trakcie lub bezpośrednio po prezentacji jest zabronione."
"Zawodnik, po wykonaniu Kata, musi czekać na macie na ogłoszenie oceny.";0;"6.8 Na koniec wykonania, które jest zdefiniowane jako ukłon końcowy Kata, Zawodnicy muszą powrócić do brzegu pola walki i oczekiwać na ogłoszenie zwycięzcy."
"Zawodnicy mogą wybrać dowolne Kata z oficjalnej listy Kata.";1;"5.2.3 Każdy Zawodnik/Zespół ma swobodę wyboru, którego kata użyje"
"Drużyna, która nie wykona ukłonu na początku lub na końcu wykonania, będzie zdyskwalifikowana.";0;"5.8 Dyskwalifikacja 5.8.2 Tylko dla kategorii U14 i starsi : a. Brak ukłonu na początku i na końcu wykonania Kata"
"Użycie tradycyjnych broni, pomocniczego wyposażenia lub dodatkowego stroju jest dozwolone.";0;"2.2.7 Zabronione jest noszenie jakiejkolwiek nieautoryzowanej odzieży, odzieży lub sprzętu"
"Wykonanie Kata indywidualnego jest oceniane od ukłonu rozpoczynającego Kata do ukłonu kończącego Kata.";1;"5.3.1 Prezentacja oceniana jest od ukłonu rozpoczynającego Kata do ukłonu kończącego Kata, z wyjątkiem Drużynowych meczy medalowych, gdzie wykonanie, jak również pomiar czasu, rozpoczyna się ukłonem na początku Kata i kończy się, gdy Zawodnicy ukłonią się pozakończeniu Bunkai (o ile Bunkai jest wymagane)."
"Pas rozluźniający się do tego stopnia, że opada z bioder podczas wykonania, powoduje faul.";1;"5.7 Faule : 5.7.6 Pas rozluźniający się podczas wykonania do tego stopnia, że opada z bioder5.8 Dyskwalifikacja 5.8.2 Tylko dla kategorii U14 i starsi c. Upadek pasa podczas prezentacji"
"Pas rozluźniający się do tego stopnia, że opada z bioder podczas wykonania, powoduje dyskwalifikację.";0;"5.7 Faule : 5.7.6 Pas rozluźniający się podczas wykonania do tego stopnia, że opada z bioder5.8 Dyskwalifikacja  5.8.7 Upadek pasa podczas prezentacji."
"Po ukłonie Zawodnik musi wyraźnie zapowiedzieć nazwę Kata które ma być wykonane i następnie rozpocząć wykonanie.";0;"5.7 Faule - 5.7.1 Zapowiedź Kata przed, zamiast po ukłonie"
